model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price,fuel utilization efficiency,engine optimality,intensity of use
Skoda,2010,158000.0,серебристый,2040.0,механическая,передний,3 или более,1.6,102.0,бензиновый ,АИ-95 ,12.3,7.4,Чехия ,C ,190.0,Euro 4 ,820000.0,4.625,2007.3600000000004,10533.333333333334
Datsun,2019,103000.0,коричневый,783.0,механическая,передний,1 владелец,1.6,87.0,бензиновый ,АИ-95 ,12.2,7.0,Япония ,B ,173.0,Euro 4 ,640000.0,4.375,1698.24,17166.666666666668
LiXiang,2024,66.0,белый,67350.0,автоматическая,полный,1 владелец,1.5,449.0,гибридный ,АИ-95 ,5.3,7.6,Китай ,E ,180.0,Euro 0,6950000.0,5.066666666666666,3569.5499999999997,66.0
Mercedes-Benz,2021,39435.0,чёрный,3000.0,роботизированная,передний,1 владелец,1.3,150.0,бензиновый ,АИ-95 ,9.1,6.2,Германия ,C ,207.0,Euro 6 ,3799000.0,4.769230769230769,1774.5,9858.75
Audi,2022,448.0,белый,7600.0,роботизированная,полный,1 владелец,2.0,190.0,бензиновый ,АИ-95 ,7.0,6.6,Германия ,C ,248.0,Euro 6 ,4350000.0,3.3,2660.0,149.33333333333334
Kia,2023,95.0,белый,7760.0,автоматическая,полный,1 владелец,2.5,194.0,бензиновый ,АИ-95 ,9.4,7.7,Южная Корея ,C ,200.0,Euro 6 ,5999000.0,3.08,4559.0,47.5
Skoda,2019,36605.0,белый,540.0,механическая,передний,1 владелец,1.0,60.0,бензиновый ,АИ-95 ,16.4,4.7,Чехия ,B ,158.0,Euro 6 ,1399000.0,4.7,983.9999999999999,6100.833333333333
SsangYong,2013,113002.0,серый,2980.0,автоматическая,передний,3 или более,2.0,149.0,дизельный ,ДТ ,11.0,7.3,Южная Корея ,C ,174.0,Euro 0,1170000.0,3.65,3278.0,9416.833333333334
Kia,2020,38652.0,белый,2460.0,автоматическая,передний,1 владелец,1.6,123.0,бензиновый ,АИ-92 ,11.6,6.8,Южная Корея ,B ,182.0,Euro 5 ,1980000.0,4.25,2282.88,7730.4
Geely,2020,98001.0,серебристый,2980.0,автоматическая,полный,1 владелец,2.4,149.0,бензиновый ,АИ-95 ,13.1,11.5,Китай ,C ,185.0,Euro 0,1899000.0,4.791666666666667,4684.5599999999995,19600.2
Geely,2020,62280.0,красный,2660.0,механическая,передний,2 владельца,1.8,133.0,бензиновый ,АИ-92 ,10.3,6.9,Китай ,C ,180.0,Euro 5 ,1650000.0,3.8333333333333335,2465.82,12456.0
Ford,2018,60215.0,серый,3000.0,автоматическая,полный,3 или более,1.5,150.0,бензиновый ,АИ-95 ,10.7,8.0,США ,C ,212.0,Euro 6 ,1675000.0,5.333333333333333,2407.5,8602.142857142857
Nissan,2014,127000.0,белый,2880.0,вариатор,полный,2 владельца,2.0,144.0,бензиновый ,АИ-95 ,10.5,7.3,Япония ,C ,182.0,Euro 5 ,1849000.0,3.65,3024.0,11545.454545454546
Skoda,2023,109.0,белый,7440.0,роботизированная,передний,1 владелец,2.0,186.0,бензиновый ,АИ-95 ,8.8,7.0,Чехия ,D ,200.0,Euro 0,4399000.0,3.5,3273.6000000000004,54.5
Ford,2012,241308.0,красный,3000.0,роботизированная,передний,3 или более,2.0,150.0,бензиновый ,АИ-95 ,9.3,6.4,США ,C ,200.0,Euro 5 ,755000.0,3.2,2790.0,18562.153846153848
Skoda,2018,133000.0,белый,2200.0,автоматическая,передний,1 владелец,1.6,110.0,бензиновый ,АИ-95 ,11.6,6.1,Чехия ,B ,191.0,Euro 5 ,1220000.0,3.8124999999999996,2041.6,19000.0
Toyota,2022,7515.0,белый,45150.0,автоматическая,передний,1 владелец,3.5,301.0,бензиновый ,АИ-95 ,6.0,9.0,Япония ,D ,216.0,Euro 0,3770000.0,2.5714285714285716,6321.0,2505.0
Volkswagen,2020,26974.0,чёрный,3000.0,автоматическая,передний,1 владелец,1.4,150.0,бензиновый ,АИ-95 ,8.9,6.9,Германия ,C ,210.0,Euro 5 ,2400000.0,4.928571428571429,1869.0,5394.8
Lexus,2020,104000.0,чёрный,40800.0,автоматическая,полный,2 владельца,4.5,272.0,дизельный ,ДТ ,8.6,9.5,Япония ,J ,210.0,Euro 0,9799000.0,2.111111111111111,10526.4,20800.0
Hyundai,2019,52000.0,чёрный,2460.0,механическая,передний,2 владельца,1.6,123.0,бензиновый ,АИ-95 ,12.3,7.0,Южная Корея ,B ,169.0,Euro 6 ,1699000.0,4.375,2420.6400000000003,8666.666666666666
Volkswagen,2017,169644.0,синий,3000.0,автоматическая,передний,2 владельца,1.4,150.0,бензиновый ,АИ-95 ,8.6,6.0,Германия ,C ,215.0,Euro 5 ,1450000.0,4.285714285714286,1806.0,21205.5
Hyundai,2021,30233.0,белый,2460.0,автоматическая,передний,1 владелец,1.6,123.0,бензиновый ,АИ-92 ,12.1,7.0,Южная Корея ,B ,169.0,Euro 5 ,2380000.0,4.375,2381.28,7558.25
